dateString,timestamp[ms],rssi[dBm],snr[dB],longitude,latitude,height[m],altitude[m a.s.l.],speed[m/s],depth[m],runID
2025-04-02T15:24:05.560,1743600245560,-92,11.25,11.8272548578954,46.3787140870915,38.19144,1911.7056,4.83736261888,0.6,1
2025-04-02T15:24:05.769,1743600245769,-92,11.25,11.8272611866851,46.3787064839784,38.19144,1911.7056,4.83736261888,0.6,1
2025-04-02T15:24:05.979,1743600245979,-92,11.25,11.8272674444653,46.378698671551,38.1,1911.4008,4.83736261888,0.6,1
2025-04-02T15:24:06.189,1743600246189,-92,11.5,11.8272739855886,46.378690775826,38.1,1911.4008,4.8877476032,0.6,1
2025-04-02T15:24:06.398,1743600246398,-92,11.25,11.8272804987053,46.3786829390584,38.1,1911.4008,4.8877476032,0.6,1
2025-04-02T15:24:06.615,1743600246615,-92,11.25,11.8272902808442,46.3786712700224,37.97808,1911.4008,4.83736261888,0.6,1
2025-04-02T15:24:06.825,1743600246825,-92,11.25,11.8272967711186,46.378663496957,37.97808,1911.4008,4.92443662304,0.6,1
2025-04-02T15:24:07.028,1743600247028,-92,10.5,11.8273033041975,46.3786556978215,37.88664,1911.4008,4.97394004448,0.6,1
2025-04-02T15:24:07.237,1743600247237,-93,11.75,11.8273098339989,46.3786478853255,37.88664,1911.4008,4.97394004448,0.6,1
2025-04-02T15:24:07.447,1743600247447,-92,11.25,11.8273161576243,46.3786400966386,37.88664,1911.4008,4.92443662304,0.6,1
2025-04-02T15:24:07.657,1743600247657,-92,10.75,11.827322641344,46.3786323108636,37.88664,1911.4008,4.97394004448,0.6,1
2025-04-02T15:24:07.866,1743600247866,-92,10.25,11.8273289002167,46.3786248446099,37.7952,1911.096,4.97394004448,0.6,1
2025-04-02T15:24:08.076,1743600248076,-92,11,11.8273357146523,46.3786166931343,37.7952,1911.096,4.97394004448,0.6,1
2025-04-02T15:24:08.286,1743600248286,-92,11.25,11.8273420903183,46.3786092158497,37.7952,1911.096,4.8877476032,0.6,1
2025-04-02T15:24:08.495,1743600248495,-92,11.25,11.8273488359292,46.3786009223075,37.7952,1911.096,4.8877476032,0.6,1
2025-04-02T15:24:08.705,1743600248705,-92,11,11.8273553028649,46.3785933256006,37.7952,1911.096,4.8877476032,0.6,1
2025-04-02T15:24:08.915,1743600248915,-93,10,11.8273649256047,46.378581963085,37.67328,1911.096,4.8877476032,0.6,1
2025-04-02T15:24:09.124,1743600249124,-94,9.25,11.8273716875032,46.3785740098928,37.67328,1911.096,4.8877476032,0.6,1
2025-04-02T15:24:09.333,1743600249333,-93,10.25,11.8273782320031,46.3785661791717,37.67328,1911.096,4.97394004448,0.6,1
2025-04-02T15:24:09.543,1743600249543,-94,9.75,11.8273848985601,46.3785584889756,37.58184,1911.096,4.8877476032,0.6,1
2025-04-02T15:24:09.752,1743600249752,-95,9.5,11.8273912955786,46.3785508401971,37.58184,1911.096,4.83736261888,0.6,1
2025-04-02T15:24:09.962,1743600249962,-95,9,11.8273976595255,46.3785431950156,37.58184,1911.096,4.83736261888,0.6,1
2025-04-02T15:24:10.172,1743600250172,-96,9.5,11.8274043779244,46.3785351830029,37.4904,1910.7912,4.83736261888,0.6,1
2025-04-02T15:24:10.382,1743600250382,-97,9.25,11.827410408474,46.3785281735068,37.4904,1910.7912,4.83736261888,0.6,1
2025-04-02T15:24:10.592,1743600250592,-97,9.5,11.8274168085712,46.3785202532361,37.4904,1910.7912,4.8877476032,0.6,1
2025-04-02T15:24:10.801,1743600250801,-96,9.75,11.8274236694858,46.3785122255335,37.39896,1910.7912,4.97394004448,0.6,1
2025-04-02T15:24:11.010,1743600251010,-97,9.5,11.8274300979869,46.378504519202,37.27704,1910.7912,4.8877476032,0.6,1
2025-04-02T15:24:11.220,1743600251220,-96,9.5,11.8274367194553,46.3784967170861,37.27704,1910.7912,4.8877476032,0.6,1
2025-04-02T15:24:11.430,1743600251430,-96,9.5,11.827443092837,46.3784889143879,37.1856,1910.7912,4.83736261888,0.6,1
2025-04-02T15:24:11.640,1743600251640,-95,10,11.827449523523,46.3784810832214,37.1856,1910.7912,4.92443662304,0.6,1
2025-04-02T15:24:11.850,1743600251850,-95,10,11.8274560412082,46.378473412655,37.09416,1910.4864,4.92443662304,0.6,1
2025-04-02T15:24:12.064,1743600252064,-94,10,11.8274657179749,46.3784617389428,36.97224,1910.4864,4.8877476032,0.6,1
2025-04-02T15:24:12.277,1743600252277,-94,10,11.8274723298098,46.3784539528937,36.8808,1910.4864,4.8877476032,0.6,1
2025-04-02T15:24:12.481,1743600252481,-94,9.5,11.8274787266297,46.3784461543064,36.8808,1910.4864,4.8877476032,0.6,1
2025-04-02T15:24:12.690,1743600252690,-94,10.25,11.8274853734231,46.3784383308137,36.78936,1910.1816,4.8877476032,0.6,1
2025-04-02T15:24:12.904,1743600252904,-94,9.5,11.827491796164,46.3784306899486,36.78936,1910.1816,4.8877476032,0.6,1
